Unix,Date,Symbol,Open,High,Low,Close,Volume DOT,Volume EUR,tradecount
1762905600000,2025-11-12,DOTEUR,2.64,2.718,2.483,2.525,142629.55,369551.0649,2591
1762819200000,2025-11-11,DOTEUR,2.826,2.927,2.625,2.635,278856.52,768379.53445,1868
1762732800000,2025-11-10,DOTEUR,2.794,2.865,2.707,2.82,299395.7,833590.79657,3764
1762646400000,2025-11-09,DOTEUR,2.807,2.856,2.628,2.798,390736.62,1070126.66369,3188
1762560000000,2025-11-08,DOTEUR,2.816,3.048,2.667,2.81,670085.62,1904579.7683,6680
1762473600000,2025-11-07,DOTEUR,2.309,2.883,2.309,2.812,1027342.53,2623197.89302,10082
1762387200000,2025-11-06,DOTEUR,2.322,2.332,2.194,2.309,487464.68,1103692.04721,4056
1762300800000,2025-11-05,DOTEUR,2.183,2.331,2.078,2.323,494077.1,1107452.97122,4082
1762214400000,2025-11-04,DOTEUR,2.244,2.312,2.038,2.183,947833.72,2074179.51092,7246
1762128000000,2025-11-03,DOTEUR,2.591,2.594,2.167,2.242,575988.1,1338859.66026,6340
1762041600000,2025-11-02,DOTEUR,2.57,2.608,2.482,2.589,306363.23,783231.6572,2727
1761955200000,2025-11-01,DOTEUR,2.496,2.573,2.482,2.573,345136.86,874140.06495,2412
1761868800000,2025-10-31,DOTEUR,2.482,2.533,2.454,2.497,272297.77,681561.63603,3245
1761782400000,2025-10-30,DOTEUR,2.654,2.683,2.406,2.483,855614.51,2172756.67254,6578
1761696000000,2025-10-29,DOTEUR,2.616,2.739,2.609,2.654,431766.59,1150915.61446,3992
1761609600000,2025-10-28,DOTEUR,2.694,2.744,2.57,2.62,324277.13,864894.79748,3710
1761523200000,2025-10-27,DOTEUR,2.746,2.793,2.678,2.693,247176.05,676170.65141,3582
1761436800000,2025-10-26,DOTEUR,2.658,2.781,2.63,2.749,241319.96,653462.36994,2942
1761350400000,2025-10-25,DOTEUR,2.648,2.671,2.604,2.656,131876.53,347550.89487,2033
1761264000000,2025-10-24,DOTEUR,2.587,2.68,2.578,2.647,327091.96,857017.01859,3999
1761177600000,2025-10-23,DOTEUR,2.515,2.615,2.512,2.584,234709.85,600026.83747,2943
1761091200000,2025-10-22,DOTEUR,2.589,2.611,2.451,2.518,241542.94,614447.89611,3225
1761004800000,2025-10-21,DOTEUR,2.649,2.745,2.5,2.59,208847.58,552169.06449,3397
1760918400000,2025-10-20,DOTEUR,2.583,2.687,2.532,2.649,246374.17,650840.23603,3728
1760832000000,2025-10-19,DOTEUR,2.521,2.628,2.479,2.583,374414.99,961360.83341,3819
1760745600000,2025-10-18,DOTEUR,2.485,2.552,2.485,2.52,201438.62,506132.4725,2333
1760659200000,2025-10-17,DOTEUR,2.58,2.613,2.371,2.485,626752.43,1556898.84752,6389
1760572800000,2025-10-16,DOTEUR,2.695,2.75,2.544,2.581,445349.21,1179765.3084,4841
1760486400000,2025-10-15,DOTEUR,2.788,2.876,2.654,2.697,294540.61,807948.86497,3259
1760400000000,2025-10-14,DOTEUR,2.922,2.943,2.658,2.806,515795.1,1424545.27188,8313
1760313600000,2025-10-13,DOTEUR,2.8,2.982,2.758,2.921,708917.26,2026775.97554,14026
1760227200000,2025-10-12,DOTEUR,2.622,2.865,2.538,2.805,625401.05,1720581.565,10979
1760140800000,2025-10-11,DOTEUR,2.562,2.909,2.515,2.622,635552.08,1727412.06571,12060
1760054400000,2025-10-10,DOTEUR,3.527,3.795,0.662,2.578,1374815.14,3690549.41189,17739
1759968000000,2025-10-09,DOTEUR,3.61,3.61,3.432,3.523,191177.06,667332.53927,3947
1759881600000,2025-10-08,DOTEUR,3.553,3.655,3.499,3.609,133207.35,477224.19361,3483
1759795200000,2025-10-07,DOTEUR,3.748,3.78,3.522,3.554,140324.76,511084.95445,3123
1759708800000,2025-10-06,DOTEUR,3.502,3.784,3.495,3.748,166235.22,610996.97322,3548
1759622400000,2025-10-05,DOTEUR,3.56,3.698,3.465,3.515,103658.2,372279.22843,2389
1759536000000,2025-10-04,DOTEUR,3.678,3.678,3.512,3.559,56186.32,202257.78347,1311
1759449600000,2025-10-03,DOTEUR,3.674,3.725,3.561,3.674,160310.85,582413.82651,3089
1759363200000,2025-10-02,DOTEUR,3.517,3.704,3.498,3.673,316172.95,1144142.01886,5116
1759276800000,2025-10-01,DOTEUR,3.34,3.515,3.312,3.515,269830.27,930251.45053,3429
1759190400000,2025-09-30,DOTEUR,3.396,3.405,3.245,3.331,134540.62,446895.52584,1738
1759104000000,2025-09-29,DOTEUR,3.418,3.468,3.292,3.395,164933.16,558577.78637,2406
1759017600000,2025-09-28,DOTEUR,3.326,3.444,3.247,3.416,150298.53,499197.92633,1640
1758931200000,2025-09-27,DOTEUR,3.356,3.356,3.297,3.335,41405.84,137760.58233,934
1758844800000,2025-09-26,DOTEUR,3.264,3.396,3.241,3.359,92926.99,307670.41877,1622
1758758400000,2025-09-25,DOTEUR,3.403,3.413,3.239,3.263,238866.97,794672.5736,4264
1758672000000,2025-09-24,DOTEUR,3.361,3.505,3.301,3.397,105618.22,361882.58959,1911
1758585600000,2025-09-23,DOTEUR,3.424,3.444,3.342,3.358,112777.3,383199.32527,1949
1758499200000,2025-09-22,DOTEUR,3.63,3.64,3.281,3.425,187549.39,640580.68275,4302
1758412800000,2025-09-21,DOTEUR,3.71,3.741,3.606,3.638,74930.9,275140.94604,1718
1758326400000,2025-09-20,DOTEUR,3.713,3.802,3.653,3.714,162571.42,604606.23016,2741
1758240000000,2025-09-19,DOTEUR,3.856,4.142,3.684,3.716,187607.44,734066.72877,5271
1758153600000,2025-09-18,DOTEUR,3.727,3.9,3.7,3.848,206750.98,790965.91495,4587
1758067200000,2025-09-17,DOTEUR,3.58,3.745,3.497,3.721,100554.88,360628.42883,3174
1757980800000,2025-09-16,DOTEUR,3.521,3.693,3.491,3.586,112020.38,399680.00988,2897
1757894400000,2025-09-15,DOTEUR,3.682,3.754,3.492,3.532,95762.01,343319.98532,2611
1757808000000,2025-09-14,DOTEUR,3.819,3.821,3.639,3.684,66380.05,247138.00107,2191
1757721600000,2025-09-13,DOTEUR,3.678,3.936,3.665,3.821,202988.68,775695.44097,4726
1757635200000,2025-09-12,DOTEUR,3.618,3.68,3.546,3.678,94226.58,340528.58893,2497
1757548800000,2025-09-11,DOTEUR,3.601,3.638,3.532,3.617,73836.9,264743.47801,2352
1757462400000,2025-09-10,DOTEUR,3.539,3.611,3.465,3.599,79972.42,283104.61316,2916
1757376000000,2025-09-09,DOTEUR,3.454,3.562,3.405,3.536,131346.61,459525.00983,4363
1757289600000,2025-09-08,DOTEUR,3.411,3.51,3.4,3.438,91794.7,315486.94684,3419
1757203200000,2025-09-07,DOTEUR,3.267,3.492,3.266,3.411,123329.86,418655.47443,2702
1757116800000,2025-09-06,DOTEUR,3.268,3.316,3.232,3.266,22960.69,75010.94919,673
1757030400000,2025-09-05,DOTEUR,3.227,3.319,3.221,3.268,74335.32,242958.97694,1598
1756944000000,2025-09-04,DOTEUR,3.317,3.324,3.205,3.232,36693.4,119271.18572,935
1756857600000,2025-09-03,DOTEUR,3.278,3.344,3.257,3.314,47429.46,156742.92711,1093
1756771200000,2025-09-02,DOTEUR,3.155,3.285,3.144,3.281,75876.36,244674.62017,1557
1756684800000,2025-09-01,DOTEUR,3.2,3.312,3.09,3.149,204609.5,648176.75135,2521
1756598400000,2025-08-31,DOTEUR,3.263,3.317,3.198,3.198,118346.9,386098.29439,1654
1756512000000,2025-08-30,DOTEUR,3.231,3.274,3.18,3.261,56545.82,182931.30521,1355
1756425600000,2025-08-29,DOTEUR,3.411,3.424,3.188,3.232,238857.51,781888.97974,5357
1756339200000,2025-08-28,DOTEUR,3.292,3.445,3.27,3.409,101764.03,344323.26899,2534
1756252800000,2025-08-27,DOTEUR,3.34,3.394,3.286,3.289,93124.95,311757.61252,1955
1756166400000,2025-08-26,DOTEUR,3.212,3.371,3.187,3.341,76366.25,250493.23432,1850
1756080000000,2025-08-25,DOTEUR,3.513,3.541,3.177,3.219,118232.31,391318.66585,2947
1755993600000,2025-08-24,DOTEUR,3.585,3.629,3.414,3.505,93436.23,327294.66126,2168
1755907200000,2025-08-23,DOTEUR,3.548,3.613,3.417,3.588,61001.92,216387.77143,1851
1755820800000,2025-08-22,DOTEUR,3.268,3.578,3.178,3.55,141545.11,475915.80497,3129
1755734400000,2025-08-21,DOTEUR,3.333,3.365,3.249,3.267,51930.8,171350.5465,1057
1755648000000,2025-08-20,DOTEUR,3.201,3.362,3.18,3.332,88845.18,292342.26844,1599
1755561600000,2025-08-19,DOTEUR,3.355,3.391,3.189,3.192,102413.5,336591.37275,2310
1755475200000,2025-08-18,DOTEUR,3.465,3.471,3.281,3.357,88882.9,297911.7489,2574
1755388800000,2025-08-17,DOTEUR,3.394,3.585,3.362,3.468,56881.58,198715.08702,1508
1755302400000,2025-08-16,DOTEUR,3.35,3.418,3.331,3.395,50561.67,170712.79255,1130
1755216000000,2025-08-15,DOTEUR,3.424,3.52,3.267,3.332,96005.7,324326.27599,2801
1755129600000,2025-08-14,DOTEUR,3.639,3.731,3.354,3.423,185316.23,654064.67924,4562
1755043200000,2025-08-13,DOTEUR,3.562,3.686,3.5,3.634,193244.77,699292.30352,3586
1754956800000,2025-08-12,DOTEUR,3.32,3.625,3.292,3.55,134132.86,464896.24344,3482
1754870400000,2025-08-11,DOTEUR,3.466,3.572,3.288,3.325,131219.16,446816.63002,2924
1754784000000,2025-08-10,DOTEUR,3.546,3.574,3.384,3.469,75595.3,262361.33559,1810
1754697600000,2025-08-09,DOTEUR,3.416,3.575,3.412,3.539,60845.57,213397.25152,1913
1754611200000,2025-08-08,DOTEUR,3.314,3.43,3.263,3.414,135888.6,455844.09622,3010
